element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,2,"=""249.25360""","=""0.00010""","=""249.25360""","=""0.00009""","=""8""","=""""",,"=""31100.286""","=""71220.067""","=""5d5""","=""2I""","=""11/2""","=""5d4.(1I).6p""","=""2I*""","=""13/2""",,"=""""","=""L11762""",
W,2,"=""249.2687""","=""0.0010""","=""249.26894""","=""0.00124""","=""5bl""","=""""",,"=""25209.233""","=""65326.546""","=""""","=""""","=""9/2""","=""""","=""""","=""11/2""",,"=""""","=""L6520""",
W,4,"=""249.2694""","=""0.0010""","=""249.2690""","=""0.0005""","=""6""","=""""",,"=""77607.89""","=""117725.20""","=""5d2.(1S).6s""","=""2S""","=""1/2""","=""5d2.(1D).6p""","=""2P*""","=""1/2""",,"=""""","=""L6352""",
W,1,"=""249.2750""","=""0.0010""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""249.29933""","=""0.00010""","=""249.29933""","=""0.00003""","=""24""","=""""",,"=""26158.581""","=""66271.003""","=""5d5""","=""4G""","=""9/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,1,"=""249.3112""","=""0.0010""","=""249.3108""","=""0.0005""","=""30""","=""""",,"=""4830.00""","=""44940.57""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""249.3274""","=""0.0010""","=""249.3278""","=""0.0005""","=""5""","=""""",,"=""14976.18""","=""55084.02""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,2,"=""249.35804""","=""0.00010""","=""249.35806""","=""0.00025""","=""3""","=""""",,"=""28631.688""","=""68734.663""","=""""","=""""","=""7/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,2,"=""249.367772""","=""0.000010""","=""249.367772""","=""0.000012""","=""89""","=""""",,"=""14857.160""","=""54958.573""","=""""","=""""","=""9/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,2,"=""249.37871""","=""0.00010""","=""249.37876""","=""0.00025""","=""3""","=""""",,"=""26929.008""","=""67028.654""","=""5d4.(1I).6s""","=""2I""","=""11/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,1,"=""249.3912""","=""0.0010""","=""249.3918""","=""0.0005""","=""18""","=""""",,"=""13777.71""","=""53875.26""","=""5d4.6s2""","=""3F2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""249.4146""","=""0.0010""","=""249.4149""","=""0.0005""","=""30""","=""""",,"=""12161.96""","=""52255.80""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""249.42812""","=""0.00010""","=""249.42811""","=""0.00012""","=""6""","=""""",,"=""24804.612""","=""64896.325""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""249.4629""","=""0.0010""","=""249.4633""","=""0.0005""","=""4""","=""""",,"=""15460.01""","=""55546.06""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""249.5583""","=""0.0010""","=""249.5583""","=""0.0005""","=""30""","=""""",,"=""16431.31""","=""56502.10""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""249.56173""","=""0.00010""","=""249.561713""","=""0.000093""","=""8""","=""""",,"=""14634.336""","=""54704.585""","=""5d4.(5D).6s""","=""4D""","=""3/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""249.5763""","=""0.0010""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,3,"=""249.5885""","=""0.0010""","=""249.5887""","=""0.0005""","=""2d""","=""""",,"=""33631.43""","=""73697.35""","=""""","=""""","=""4""","=""5d3.(4P).6p""","=""5D*""","=""3""",,"=""""","=""L10405""",
W,2,"=""249.60124""","=""0.00010""","=""249.60134""","=""0.00125""","=""26bl""","=""""",,"=""31100.286""","=""71164.174""","=""5d5""","=""2I""","=""11/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,1,"=""249.6017""","=""0.0010""","=""249.6016""","=""0.0005""","=""100r""","=""4.7e+07""",C,"=""1670.29""","=""41734.13""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
W,2,"=""249.62712""","=""0.00010""","=""249.627126""","=""0.000031""","=""23""","=""""",,"=""16553.087""","=""56612.836""","=""5d4.(3H).6s""","=""4H""","=""9/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,3,"=""249.6388""","=""0.0010""","=""249.6389""","=""0.0005""","=""1d""","=""""",,"=""37769.78""","=""77827.64""","=""5d3.(4F).6s""","=""3F""","=""4""","=""""","=""""","=""4""",,"=""""","=""L10405""",
W,1,"=""249.647""","=""0.010""","=""249.6474""","=""0.0005""","=""10""","=""""",,"=""14976.18""","=""55032.67""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,2,"=""249.64961""","=""0.00010""","=""249.64962""","=""0.00004""","=""19""","=""""",,"=""30618.045""","=""70674.184""","=""""","=""""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""249.6684""","=""0.0010""","=""249.6691""","=""0.0005""","=""15""","=""""",,"=""16431.31""","=""56484.33""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""249.6863""","=""0.0010""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""249.7002""","=""0.0010""","=""249.7004""","=""0.0005""","=""4""","=""""",,"=""23484.78""","=""63532.78""","=""5d4.6s2""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,2,"=""249.738910""","=""0.000010""","=""249.738917""","=""0.000006""","=""142""","=""9.62e+06""",B,"=""4716.278""","=""44758.095""","=""5d4.(5D).6s""","=""6D""","=""7/2""","=""""","=""""","=""9/2""",,"=""T7162""","=""L11762""",
W,2,"=""249.74241""","=""0.00010""","=""249.742409""","=""0.000025""","=""34""","=""""",,"=""30632.927""","=""70674.184""","=""""","=""""","=""9/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""249.772""","=""0.010""","=""249.7723""","=""0.0005""","=""25""","=""""",,"=""17107.01""","=""57143.48""","=""5d4.6s2""","=""3F2""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""249.8046""","=""0.0010""","=""249.8047""","=""0.0005""","=""18""","=""""",,"=""17701.18""","=""57732.46""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""249.823182""","=""0.000010""","=""249.823188""","=""0.000006""","=""159""","=""""",,"=""6147.085""","=""46175.395""","=""5d4.(5D).6s""","=""6D""","=""9/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""249.8450""","=""0.0010""","=""249.8452""","=""0.0005""","=""8*""","=""""",,"=""19648.54""","=""59673.32""","=""5d5.(4G).6s""","=""5G""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""249.8450""","=""0.0010""","=""249.8453""","=""0.0005""","=""8*""","=""""",,"=""17107.01""","=""57131.78""","=""5d4.6s2""","=""3F2""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,3,"=""249.8459""","=""0.0010""","=""249.8452""","=""0.0005""","=""1d*""","=""""",,"=""36353.31""","=""76378.09""","=""""","=""""","=""2""","=""5d3.(4P).6p""","=""5D*""","=""1""",,"=""""","=""L10405""",
W,3,"=""249.8459""","=""0.0010""","=""249.8465""","=""0.0005""","=""1d*""","=""""",,"=""46259.17""","=""86283.75""","=""5d3.(4P).6s""","=""3P""","=""2""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,4,"=""249.8910""","=""0.0010""","=""249.8909""","=""0.0005""","=""200""","=""""",,"=""52828.24""","=""92845.71""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""5d2.(3F).6p""","=""4G*""","=""7/2""",,"=""""","=""L6352""",
W,1,"=""249.9391""","=""0.0010""","=""249.9394""","=""0.0005""","=""6""","=""""",,"=""18280.48""","=""58290.18""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""249.9541""","=""0.0010""","=""249.9538""","=""0.0005""","=""3""","=""""",,"=""19256.24""","=""59263.63""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,2,"=""249.99735""","=""0.00010""","=""249.997356""","=""0.000025""","=""33""","=""""",,"=""19276.431""","=""59276.854""","=""""","=""""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,2,"=""250.00749""","=""0.00010""","=""250.00755""","=""0.00009""","=""8""","=""""",,"=""24991.591""","=""64990.383""","=""""","=""""","=""3/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""250.0185""","=""0.0010""","=""250.0190""","=""0.0005""","=""25""","=""""",,"=""13348.56""","=""53345.52""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""250.043695""","=""0.000010""","=""250.043701""","=""0.000006""","=""136""","=""""",,"=""7420.261""","=""47413.270""","=""5d5""","=""6S""","=""5/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,2,"=""250.06885""","=""0.00010""","=""250.06889""","=""0.00006""","=""13""","=""""",,"=""13434.070""","=""53423.050""","=""""","=""""","=""5/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,2,"=""250.07311""","=""0.00010""","=""250.07313""","=""0.00006""","=""13""","=""""",,"=""28631.688""","=""68619.990""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,2,"=""250.085573""","=""0.000010""","=""250.085579""","=""0.000006""","=""127""","=""""",,"=""18000.627""","=""57986.939""","=""""","=""""","=""7/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,2,"=""250.09655""","=""0.00010""","=""250.09666""","=""0.00013""","=""6""","=""""",,"=""23803.702""","=""63788.242""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""250.1392""","=""0.0010""","=""250.1387""","=""0.0006""","=""3""","=""""",,"=""13307.10""","=""53284.92""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""250.1583""","=""0.0010""","=""250.1580""","=""0.0006""","=""1""","=""""",,"=""18116.84""","=""58091.58""","=""5d5.(4G).6s""","=""5G""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""250.1659""","=""0.0010""","=""250.1663""","=""0.0006""","=""5""","=""""",,"=""15069.93""","=""55043.34""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""250.17594""","=""0.00010""","=""250.17594""","=""0.00007""","=""11""","=""""",,"=""25672.099""","=""65643.968""","=""""","=""""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,2,"=""250.20954""","=""0.00010""","=""250.20956""","=""0.00003""","=""30""","=""""",,"=""19403.991""","=""59370.490""","=""""","=""""","=""1/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,1,"=""250.2194""","=""0.0010""","=""250.2200""","=""0.0006""","=""5""","=""""",,"=""14976.18""","=""54941.01""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""250.2534""","=""0.0010""","=""250.2537""","=""0.0006""","=""20""","=""""",,"=""2951.29""","=""42910.74""","=""5d5.(6S).6s""","=""7S""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""250.26256""","=""0.00010""","=""250.262325""","=""0.000251""","=""3""","=""""",,"=""13411.939""","=""53370.011""","=""5d3.6s2""","=""4F""","=""7/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,1,"=""250.2650""","=""0.0010""","=""250.2633""","=""0.0006""","=""30""","=""""",,"=""19253.56""","=""59211.47""","=""5d4.6s2""","=""3P2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,2,"=""250.28216""","=""0.00010""","=""250.28216""","=""0.00006""","=""11""","=""""",,"=""16589.603""","=""56544.508""","=""""","=""""","=""7/2""","=""5d3.(4P).6s.(5P).6p""","=""6P*""","=""5/2""",,"=""""","=""L11762""",
W,2,"=""250.29151""","=""0.00010""","=""250.29156""","=""0.00013""","=""5""","=""""",,"=""11301.024""","=""51254.429""","=""5d3.6s2""","=""4F""","=""5/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,2,"=""250.29503""","=""0.00010""","=""250.29494""","=""0.00013""","=""5""","=""""",,"=""28490.920""","=""68443.785""","=""""","=""""","=""3/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,3,"=""250.3248""","=""0.0010""","=""250.3250""","=""0.0005""","=""10d""","=""""",,"=""37808.94""","=""77757.00""","=""""","=""""","=""1""","=""5d2.(3F).6s.6p.(3P*)""","=""5G*""","=""2""",,"=""""","=""L10405""",
W,1,"=""250.3796""","=""0.0010""","=""250.3800""","=""0.0006""","=""12""","=""""",,"=""15069.93""","=""55009.22""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""250.3980""","=""0.0010""","=""250.3984""","=""0.0006""","=""4""","=""""",,"=""13348.56""","=""53284.92""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""250.436""","=""0.010""","=""250.4373""","=""0.0006""","=""4""","=""""",,"=""15460.01""","=""55390.16""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,2,"=""250.46242""","=""0.00010""","=""250.462504""","=""0.000439""","=""2""","=""""",,"=""13411.939""","=""53338.075""","=""5d3.6s2""","=""4F""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""250.4711""","=""0.0010""","=""250.4714""","=""0.0006""","=""30""","=""""",,"=""14976.18""","=""54900.90""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""250.501""","=""0.010""","=""250.5014""","=""0.0006""","=""3""","=""""",,"=""13307.10""","=""53227.03""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""250.5060""","=""0.0010""","=""250.5065""","=""0.0006""","=""4""","=""""",,"=""12161.96""","=""52081.09""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""250.5131""","=""0.0010""","=""250.5124""","=""0.0006""","=""4""","=""""",,"=""17701.18""","=""57619.36""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""250.5281""","=""0.0010""","=""250.5284""","=""0.0006""","=""25""","=""""",,"=""9528.06""","=""49443.70""","=""5d4.6s2""","=""3P2""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""250.5453""","=""0.0010""","=""250.5455""","=""0.0006""","=""60r""","=""3.2e+07""",C,"=""1670.29""","=""41583.20""","=""5d4.6s2""","=""5D""","=""1""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
W,3,"=""250.5750""","=""0.0010""","=""250.5754""","=""0.0005""","=""10d""","=""""",,"=""36226.46""","=""76134.60""","=""""","=""""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,4,"=""250.5948""","=""0.0010""","=""250.5947""","=""0.0005""","=""1""","=""""",,"=""87172.17""","=""127077.24""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(1G).6p""","=""2F*""","=""5/2""",,"=""""","=""L6352""",
W,1,"=""250.6129""","=""0.0010""","=""250.6132""","=""0.0006""","=""18""","=""2.9e+06""",B,"=""3325.53""","=""43227.66""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""2""",,"=""T6977""","=""L153""",
W,1,"=""250.6401""","=""0.0010""","=""250.6403""","=""0.0006""","=""30""","=""""",,"=""12161.96""","=""52059.78""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""250.65362""","=""0.00010""","=""250.653629""","=""0.000126""","=""5""","=""""",,"=""13434.070""","=""53329.762""","=""""","=""""","=""5/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,1,"=""250.6775""","=""0.0010""","=""250.6781""","=""0.0006""","=""20""","=""3.2e+07""",C,"=""3325.53""","=""43217.33""","=""5d4.6s2""","=""5D""","=""2""","=""""","=""*""","=""1""",,"=""T6977""","=""L153""",
W,2,"=""250.680409""","=""0.000010""","=""250.680422""","=""0.000013""","=""100""","=""""",,"=""28187.578""","=""68079.006""","=""5d4.(1I).6s""","=""2I""","=""13/2""","=""5d4.(1I).6p""","=""2K*""","=""13/2""",,"=""""","=""L11762""",
W,1,"=""250.6901""","=""0.0010""","=""250.6903""","=""0.0006""","=""20""","=""""",,"=""13348.56""","=""53238.41""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,3,"=""250.6922""","=""0.0010""","=""250.6928""","=""0.0005""","=""1""","=""""",,"=""41403.97""","=""81293.43""","=""5d3.(2F).6s""","=""3F""","=""2""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,1,"=""250.7128""","=""0.0010""","=""250.7133""","=""0.0006""","=""4""","=""""",,"=""15460.01""","=""55346.20""","=""5d4.6s2""","=""3D""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""250.7333""","=""0.0010""","=""250.7336""","=""0.0006""","=""3""","=""""",,"=""14976.18""","=""54859.15""","=""5d4.6s2""","=""3D""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
W,1,"=""250.739""","=""0.010""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""250.7806""","=""0.0010""","=""250.7805""","=""0.0006""","=""12""","=""""",,"=""19535.01""","=""59410.52""","=""5d5.(4G).6s""","=""5G""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""250.7877""","=""0.0010""","=""250.7875""","=""0.0006""","=""3""","=""""",,"=""18974.51""","=""58848.90""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""250.79641""","=""0.00010""","=""250.79640""","=""0.00004""","=""20""","=""""",,"=""31347.087""","=""71220.067""","=""5d5""","=""2I""","=""13/2""","=""5d4.(1I).6p""","=""2I*""","=""13/2""",,"=""""","=""L11762""",
W,3,"=""250.8348""","=""0.0010""","=""250.8352""","=""0.0005""","=""60""","=""9.3e+06""",C,"=""22955.03""","=""62821.85""","=""5d3.(4P).6s""","=""5P""","=""2""","=""""","=""""","=""2""",,"=""T7469""","=""L10405""",
W,2,"=""250.87453""","=""0.00010""","=""250.874536""","=""0.000038""","=""21""","=""""",,"=""16553.087""","=""56413.649""","=""5d4.(3H).6s""","=""4H""","=""9/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,2,"=""250.90258""","=""0.00010""","=""250.90242""","=""0.00031""","=""3""","=""""",,"=""18000.627""","=""57856.759""","=""""","=""""","=""7/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""250.9200""","=""0.0010""","=""250.9201""","=""0.0006""","=""40""","=""""",,"=""12161.96""","=""52015.28""","=""5d4.6s2""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""250.93235""","=""0.00010""","=""250.93243""","=""0.00019""","=""5""","=""""",,"=""14634.336""","=""54485.701""","=""5d4.(5D).6s""","=""4D""","=""3/2""","=""""","=""""","=""1/2""",,"=""""","=""L11762""",
W,2,"=""250.94343""","=""0.00010""","=""250.943478""","=""0.000082""","=""9""","=""""",,"=""16234.715""","=""56084.326""","=""""","=""""","=""5/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,1,"=""250.9490""","=""0.0010""","=""250.9493""","=""0.0006""","=""45""","=""2.4e+07""",C,"=""6219.33""","=""46068.02""","=""5d4.6s2""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""T6977""","=""L153""",
W,1,"=""250.9583""","=""0.0010""","=""250.9582""","=""0.0006""","=""3""","=""""",,"=""19826.04""","=""59673.32""","=""5d4.6s2""","=""3G""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""250.9934""","=""0.0010""","=""250.9934""","=""0.0006""","=""6""","=""""",,"=""15069.93""","=""54911.61""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""251.07041""","=""0.00010""","=""251.07039""","=""0.00003""","=""27""","=""""",,"=""20039.682""","=""59869.150""","=""""","=""""","=""7/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,3,"=""251.0745""","=""0.0010""","=""251.0752""","=""0.0005""","=""7bl""","=""""",,"=""56732.38""","=""96561.09""","=""5d3.(2D1).6s""","=""3D""","=""1""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,1,"=""251.0922""","=""0.0010""","=""251.0921""","=""0.0006""","=""30""","=""""",,"=""15069.93""","=""54895.96""","=""5d4.6s2""","=""3H""","=""5""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""251.0967""","=""0.0010""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""251.09820""","=""0.00010""","=""251.09825""","=""0.00008""","=""10""","=""""",,"=""28187.578""","=""68012.627""","=""5d4.(1I).6s""","=""2I""","=""13/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,1,"=""251.1028""","=""0.0010""","=""251.1027""","=""0.0006""","=""6""","=""""",,"=""16431.31""","=""56255.65""","=""5d4.6s2""","=""3G""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""251.1092""","=""0.0010""","=""251.10813""","=""0.00126""","=""7""","=""""",,"=""16553.087""","=""56376.569""","=""5d4.(3H).6s""","=""4H""","=""9/2""","=""""","=""""","=""11/2""",,"=""""","=""L6520""",
W,2,"=""251.122568""","=""0.000010""","=""251.122568""","=""0.000006""","=""141""","=""""",,"=""19070.550""","=""58891.742""","=""""","=""""","=""9/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,2,"=""251.12690""","=""0.00010""","=""251.12689""","=""0.00006""","=""14""","=""""",,"=""25169.877""","=""64990.383""","=""""","=""""","=""3/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,3,"=""251.1392""","=""0.0010""","=""251.1393""","=""0.0005""","=""1""","=""""",,"=""39321.27""","=""79139.81""","=""5d3.(2D2).6s""","=""3D""","=""3""","=""""","=""""","=""3""",,"=""""","=""L10405""",
W,2,"=""251.15507""","=""0.00010""","=""251.15506""","=""0.00019""","=""6""","=""""",,"=""23450.418""","=""63266.459""","=""5d4.(3D).6s""","=""4D""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""251.164""","=""0.010""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,3,"=""251.1721""","=""0.0010""","=""251.1721""","=""0.0005""","=""10""","=""""",,"=""36226.46""","=""76039.80""","=""""","=""""","=""3""","=""""","=""""","=""2""",,"=""""","=""L10405""",
W,2,"=""251.17701""","=""0.00010""","=""251.17688""","=""0.00009""","=""8""","=""""",,"=""24991.591""","=""64804.173""","=""""","=""""","=""3/2""","=""""","=""""","=""3/2""",,"=""""","=""L11762""",
W,1,"=""251.1859""","=""0.0010""","=""251.1862""","=""0.0006""","=""10""","=""""",,"=""18280.48""","=""58091.58""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,2,"=""251.19997""","=""0.00010""","=""251.20003""","=""0.00013""","=""8""","=""""",,"=""25672.099""","=""65481.012""","=""""","=""""","=""5/2""","=""5d3.(4P).6s.(5P).6p""","=""6S*""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""251.2129""","=""0.0010""","=""""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""251.22007""","=""0.00010""","=""251.22004""","=""0.00013""","=""5""","=""""",,"=""19637.309""","=""59443.051""","=""""","=""""","=""5/2""","=""""","=""""","=""5/2""",,"=""""","=""L11762""",
W,1,"=""251.2349""","=""0.0010""","=""251.2355""","=""0.0006""","=""2""","=""""",,"=""18974.51""","=""58777.80""","=""5d5.(4G).6s""","=""5G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,2,"=""251.25702""","=""0.00010""","=""251.25687""","=""0.00013""","=""5""","=""""",,"=""26226.897""","=""66026.803""","=""""","=""""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,2,"=""251.29409""","=""0.00010""","=""251.29379""","=""0.00051""","=""2""","=""""",,"=""25209.233""","=""65003.292""","=""""","=""""","=""9/2""","=""""","=""""","=""9/2""",,"=""""","=""L11762""",
W,2,"=""251.36113""","=""0.00010""","=""251.36114""","=""0.00004""","=""18""","=""""",,"=""25672.099""","=""65455.496""","=""""","=""""","=""5/2""","=""""","=""""","=""7/2""",,"=""""","=""L11762""",
W,1,"=""251.3695""","=""0.0010""","=""251.3693""","=""0.0006""","=""25""","=""""",,"=""17008.50""","=""56790.60""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""7""",,"=""""","=""L153""",
W,1,"=""251.4123""","=""0.0010""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,2,"=""251.41768""","=""0.00010""","=""251.41769""","=""0.00003""","=""28""","=""""",,"=""26929.008""","=""66703.457""","=""5d4.(1I).6s""","=""2I""","=""11/2""","=""""","=""""","=""11/2""",,"=""""","=""L11762""",
W,1,"=""251.4421""","=""0.0010""","=""251.4419""","=""0.0006""","=""7""","=""""",,"=""17701.18""","=""57471.80""","=""5d4.6s2""","=""3F2""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""251.4483""","=""0.0010""","=""251.4475""","=""0.0006""","=""4""","=""""",,"=""13348.56""","=""53118.29""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""251.4691""","=""0.0010""","=""251.4693""","=""0.0006""","=""30""","=""""",,"=""4830.00""","=""44596.28""","=""5d4.6s2""","=""5D""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L153""",
